Notes,Age,Age Code,Gender,Gender Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,9 years,9,Male,M,2015,2015,2110629
,9 years,9,Male,M,2016,2016,2134235
,9 years,9,Male,M,2017,2017,2128306
,9 years,9,Male,M,2018,2018,2068473
Total,9 years,9,Male,M,,,41651128
Total,9 years,9,,,,,81460113
,10 years,10,Female,F,1999,1999,2021562
,10 years,10,Female,F,2000,2000,2104606
,10 years,10,Female,F,2001,2001,2087011
,10 years,10,Female,F,2002,2002,2072652
,10 years,10,Female,F,2003,2003,2049649
,10 years,10,Female,F,2004,2004,2026099
,10 years,10,Female,F,2005,2005,2024518
,10 years,10,Female,F,2006,2006,2012412
,10 years,10,Female,F,2007,2007,1992946
,10 years,10,Female,F,2008,2008,1999441
,10 years,10,Female,F,2009,2009,2019572
,10 years,10,Female,F,2010,2010,2044855
,10 years,10,Female,F,2011,2011,2023708
,10 years,10,Female,F,2012,2012,1981759
,10 years,10,Female,F,2013,2013,1995730
,10 years,10,Female,F,2014,2014,2015531
,10 years,10,Female,F,2015,2015,2016099
,10 years,10,Female,F,2016,2016,2026910
,10 years,10,Female,F,2017,2017,2049961
,10 years,10,Female,F,2018,2018,2049181
Total,10 years,10,Female,F,,,40614202
,10 years,10,Male,M,1999,1999,2127091
,10 years,10,Male,M,2000,2000,2213934
,10 years,10,Male,M,2001,2001,2190238
,10 years,10,Male,M,2002,2002,2171164
,10 years,10,Male,M,2003,2003,2155393
,10 years,10,Male,M,2004,2004,2125852
,10 years,10,Male,M,2005,2005,2125604
,10 years,10,Male,M,2006,2006,2108693
,10 years,10,Male,M,2007,2007,2082772
,10 years,10,Male,M,2008,2008,2094239
,10 years,10,Male,M,2009,2009,2113518
,10 years,10,Male,M,2010,2010,2142102
,10 years,10,Male,M,2011,2011,2111581
,10 years,10,Male,M,2012,2012,2063710
,10 years,10,Male,M,2013,2013,2077256
,10 years,10,Male,M,2014,2014,2099051
,10 years,10,Male,M,2015,2015,2102659
,10 years,10,Male,M,2016,2016,2117162
,10 years,10,Male,M,2017,2017,2140293
,10 years,10,Male,M,2018,2018,2134896
Total,10 years,10,Male,M,,,42497208
Total,10 years,10,,,,,83111410
,11 years,11,Female,F,1999,1999,1969839
,11 years,11,Female,F,2000,2000,2024968
,11 years,11,Female,F,2001,2001,2117318
,11 years,11,Female,F,2002,2002,2095934
,11 years,11,Female,F,2003,2003,2077602
,11 years,11,Female,F,2004,2004,2050854
,11 years,11,Female,F,2005,2005,2024711
,11 years,11,Female,F,2006,2006,2020446
,11 years,11,Female,F,2007,2007,2005151
,11 years,11,Female,F,2008,2008,1982889
,11 years,11,Female,F,2009,2009,1986140
,11 years,11,Female,F,2010,2010,2010660
,11 years,11,Female,F,2011,2011,2050356
,11 years,11,Female,F,2012,2012,2029359
,11 years,11,Female,F,2013,2013,1987223
,11 years,11,Female,F,2014,2014,2001637
,11 years,11,Female,F,2015,2015,2021614
,11 years,11,Female,F,2016,2016,2022390
,11 years,11,Female,F,2017,2017,2032680
,11 years,11,Female,F,2018,2018,2056222
Total,11 years,11,Female,F,,,40567993
,11 years,11,Male,M,1999,1999,2066343
,11 years,11,Male,M,2000,2000,2126985
,11 years,11,Male,M,2001,2001,2227595
,11 years,11,Male,M,2002,2002,2199786
,11 years,11,Male,M,2003,2003,2176445
,11 years,11,Male,M,2004,2004,2156867
,11 years,11,Male,M,2005,2005,2124517
,11 years,11,Male,M,2006,2006,2121524
,11 years,11,Male,M,2007,2007,2101341
,11 years,11,Male,M,2008,2008,2072499
,11 years,11,Male,M,2009,2009,2080465
,11 years,11,Male,M,2010,2010,2104759
,11 years,11,Male,M,2011,2011,2146791
,11 years,11,Male,M,2012,2012,2116398
,11 years,11,Male,M,2013,2013,2068643
,11 years,11,Male,M,2014,2014,2082849
,11 years,11,Male,M,2015,2015,2105239
,11 years,11,Male,M,2016,2016,2109124
,11 years,11,Male,M,2017,2017,2123122
,11 years,11,Male,M,2018,2018,2146785
Total,11 years,11,Male,M,,,42458077
Total,11 years,11,,,,,83026070
,12 years,12,Female,F,1999,1999,1956197
,12 years,12,Female,F,2000,2000,1992676
,12 years,12,Female,F,2001,2001,2040841
,12 years,12,Female,F,2002,2002,2134909
,12 years,12,Female,F,2003,2003,2114378
,12 years,12,Female,F,2004,2004,2097086
,12 years,12,Female,F,2005,2005,2072265
,12 years,12,Female,F,2006,2006,2048001
,12 years,12,Female,F,2007,2007,2044995
,12 years,12,Female,F,2008,2008,2031304
,12 years,12,Female,F,2009,2009,2010144
,12 years,12,Female,F,2010,2010,2009615
,12 years,12,Female,F,2011,2011,2016293
,12 years,12,Female,F,2012,2012,2056068
,12 years,12,Female,F,2013,2013,2034887
,12 years,12,Female,F,2014,2014,1992953
,12 years,12,Female,F,2015,2015,2007664
,12 years,12,Female,F,2016,2016,2027834
,12 years,12,Female,F,2017,2017,2028131
,12 years,12,Female,F,2018,2018,2038862
Total,12 years,12,Female,F,,,40755103
,12 years,12,Male,M,1999,1999,2053713
,12 years,12,Male,M,2000,2000,2092056
,12 years,12,Male,M,2001,2001,2143114
,12 years,12,Male,M,2002,2002,2245442
,12 years,12,Male,M,2003,2003,2218609
,12 years,12,Male,M,2004,2004,2196464
,12 years,12,Male,M,2005,2005,2178897
,12 years,12,Male,M,2006,2006,2148879
,12 years,12,Male,M,2007,2007,2147007
,12 years,12,Male,M,2008,2008,2128173
,12 years,12,Male,M,2009,2009,2100432
,12 years,12,Male,M,2010,2010,2103622
,12 years,12,Male,M,2011,2011,2109471
,12 years,12,Male,M,2012,2012,2151652
,12 years,12,Male,M,2013,2013,2121417
,12 years,12,Male,M,2014,2014,2074315
,12 years,12,Male,M,2015,2015,2089028
,12 years,12,Male,M,2016,2016,2111734
,12 years,12,Male,M,2017,2017,2115126
,12 years,12,Male,M,2018,2018,2129623
Total,12 years,12,Male,M,,,42658774
Total,12 years,12,,,,,83413877
,13 years,13,Female,F,1999,1999,1952202
,13 years,13,Female,F,2000,2000,1968495
,13 years,13,Female,F,2001,2001,2006423
,13 years,13,Female,F,2002,2002,2052880
,13 years,13,Female,F,2003,2003,2144999
,13 years,13,Female,F,2004,2004,2122487
,13 years,13,Female,F,2005,2005,2104267
,13 years,13,Female,F,2006,2006,2078526
,13 years,13,Female,F,2007,2007,2052707
,13 years,13,Female,F,2008,2008,2048464
,13 years,13,Female,F,2009,2009,2033250
,13 years,13,Female,F,2010,2010,2014655
,13 years,13,Female,F,2011,2011,2015222
,13 years,13,Female,F,2012,2012,2021706
,13 years,13,Female,F,2013,2013,2061554
,13 years,13,Female,F,2014,2014,2040860
,13 years,13,Female,F,2015,2015,1999450
,13 years,13,Female,F,2016,2016,2014473
,13 years,13,Female,F,2017,2017,2034216
,13 years,13,Female,F,2018,2018,2034962
Total,13 years,13,Female,F,,,40801798
,13 years,13,Male,M,1999,1999,2051405
,13 years,13,Male,M,2000,2000,2066123
,13 years,13,Male,M,2001,2001,2106768
,13 years,13,Male,M,2002,2002,2156145
,13 years,13,Male,M,2003,2003,2256394
,13 years,13,Male,M,2004,2004,2227712
,13 years,13,Male,M,2005,2005,2204584
,13 years,13,Male,M,2006,2006,2186207
,13 years,13,Male,M,2007,2007,2154619
,13 years,13,Male,M,2008,2008,2151552
,13 years,13,Male,M,2009,2009,2131163
,13 years,13,Male,M,2010,2010,2104896
,13 years,13,Male,M,2011,2011,2108654
,13 years,13,Male,M,2012,2012,2114519
,13 years,13,Male,M,2013,2013,2156833
,13 years,13,Male,M,2014,2014,2127338
,13 years,13,Male,M,2015,2015,2080793
,13 years,13,Male,M,2016,2016,2095866
,13 years,13,Male,M,2017,2017,2118067
,13 years,13,Male,M,2018,2018,2121925
Total,13 years,13,Male,M,,,42721563
Total,13 years,13,,,,,83523361
,14 years,14,Female,F,1999,1999,1955864
,14 years,14,Female,F,2000,2000,1972309
,14 years,14,Female,F,2001,2001,1979876
,14 years,14,Female,F,2002,2002,2015047
,14 years,14,Female,F,2003,2003,2058247
,14 years,14,Female,F,2004,2004,2147180
,14 years,14,Female,F,2005,2005,2122621
,14 years,14,Female,F,2006,2006,2102559
,14 years,14,Female,F,2007,2007,2074283
,14 years,14,Female,F,2008,2008,2046376
,14 years,14,Female,F,2009,2009,2039626
,14 years,14,Female,F,2010,2010,2022629
,14 years,14,Female,F,2011,2011,2020537
,14 years,14,Female,F,2012,2012,2020836
,14 years,14,Female,F,2013,2013,2027539
,14 years,14,Female,F,2014,2014,2067968
,14 years,14,Female,F,2015,2015,2047794
,14 years,14,Female,F,2016,2016,2006763
,14 years,14,Female,F,2017,2017,2021292
,14 years,14,Female,F,2018,2018,2041460
Total,14 years,14,Female,F,,,40790806
,14 years,14,Male,M,1999,1999,2059148
,14 years,14,Male,M,2000,2000,2075544
,14 years,14,Male,M,2001,2001,2079494
