"","state","sport","boys_participation","girls_participation","total_participation","boys_rank","girls_rank","total_rank"
"389","PA","Volleyball",3816,10656,14472,12,6,9
"390","PA","Lacrosse",6656,7200,13856,9,9,10
"391","RI","Soccer",1959,1752,3711,2,1,1
"392","RI","Track and Field -- Outdoor",1666,1621,3287,4,2,2
"393","RI","Basketball",1847,1203,3050,3,6,3
"394","RI","Football -- 11-Player",2798,15,2813,1,17,4
"395","RI","Track and Field -- Indoor",1431,1272,2703,6,5,5
"396","RI","Lacrosse",1254,1303,2557,7,4,6
"397","RI","Volleyball",703,1356,2059,12,3,7
"398","RI","Cross Country",966,966,1932,8,9,8
"399","RI","Tennis",760,991,1751,11,8,9
"400","RI","Baseball",1476,2,1478,5,18,10
"401","SC","Football -- 11-Player",18204,0,18204,1,12,1
"402","SC","Track and Field -- Outdoor",8006,6017,14023,2,1,2
"403","SC","Basketball",6720,4606,11326,4,5,3
"404","SC","Soccer",6146,4965,11111,5,2,4
"405","SC","Baseball",6924,0,6924,3,12,5
"406","SC","Cross Country",3478,2453,5931,7,7,6
"407","SC","Volleyball",0,4926,4926,12,3,7
"408","SC","Softball -- Fast Pitch",0,4822,4822,12,4,8
"409","SC","Wrestling",4546,0,4546,6,12,9
"410","SC","Tennis",1547,1919,3466,10,8,10
"411","SD","Track and Field -- Outdoor",3461,2977,6438,2,2,1
"412","SD","Basketball",3567,2820,6387,1,3,2
"413","SD","Volleyball",0,3534,3534,10,1,3
"414","SD","Football -- 11-Player",3214,32,3246,3,13,4
"415","SD","Football -- 9-player",1823,35,1858,4,11,5
"416","SD","Cross Country",1054,776,1830,6,4,6
"417","SD","Golf",1007,576,1583,7,8,7
"418","SD","Soccer",748,656,1404,8,7,8
"419","SD","Wrestling",1147,35,1182,5,11,9
"420","SD","DANCE",0,714,714,10,5,10
"421","TN","Football -- 11-Player",21938,0,21938,1,12,1
"422","TN","Soccer",8389,7038,15427,4,1,2
"423","TN","Basketball",9034,6078,15112,2,4,3
"424","TN","Track and Field -- Outdoor",7347,5916,13263,5,5,4
"425","TN","Baseball",8877,5,8882,3,11,5
"426","TN","Cross Country",4044,2922,6966,6,7,6
"427","TN","Volleyball",0,6767,6767,11,2,7
"428","TN","Softball -- Fast Pitch",0,6224,6224,11,3,8
"429","TN","Tennis",2343,3060,5403,8,6,9
"430","TN","Wrestling",3775,313,4088,7,10,10
"431","TX","Football -- 11-Player",164664,210,164874,1,14,1
"432","TX","Track and Field -- Outdoor",73459,53119,126578,2,2,2
"433","TX","Basketball",65977,53900,119877,3,1,3
"434","TX","Soccer",42077,32589,74666,5,5,4
"435","TX","Baseball",48706,464,49170,4,13,5
"436","TX","Volleyball",0,47415,47415,14,3,6
"437","TX","Cross Country",24301,23031,47332,6,7,7
"438","TX","Tennis",21197,20599,41796,7,8,8
"439","TX","Softball -- Fast Pitch",0,35604,35604,14,4,9
"440","TX","Competitive Spirit Squad",0,28381,28381,14,6,10
"441","UT","Track and Field -- Outdoor",5933,5247,11180,2,1,1
"442","UT","Football -- 11-Player",8944,16,8960,1,15,2
"443","UT","Soccer",3931,3550,7481,3,3,3
"444","UT","Basketball",3883,3268,7151,4,4,4
"445","UT","Cross Country",3215,2409,5624,7,5,5
"446","UT","Swimming & Diving",2058,2171,4229,8,8,6
"447","UT","Tennis",1959,2096,4055,9,9,7
"448","UT","Baseball",3687,0,3687,5,16,8
"449","UT","Volleyball",0,3605,3605,14,2,9
"450","UT","Wrestling",3460,101,3561,6,11,10
"451","VA","Football -- 11-Player",23108,48,23156,1,17,1
"452","VA","Track and Field -- Outdoor",11217,9000,20217,2,1,2
"453","VA","Soccer",10400,8913,19313,3,2,3
"454","VA","Basketball",9387,7496,16883,4,4,4
"455","VA","Track and Field -- Indoor",7890,6444,14334,6,6,5
"456","VA","Cross Country",6239,4788,11027,7,8,6
"457","VA","Volleyball",1231,8115,9346,13,3,7
"458","VA","Baseball",9097,1,9098,5,18,8
"459","VA","Swimming & Diving",3913,4667,8580,10,9,9
"460","VA","Lacrosse",4607,3748,8355,9,11,10
"461","VT","Soccer",865,780,1645,1,1,1
"462","VT","Basketball",823,500,1323,2,2,2
"463","VT","Track and Field -- Outdoor",456,326,782,5,6,3
"464","VT","Lacrosse",391,350,741,6,5,4
"465","VT","Football -- 11-Player",676,59,735,3,16,5
"466","VT","Baseball",597,2,599,4,32,6
"467","VT","Cross Country",292,208,500,7,7,7
"468","VT","Softball -- Fast Pitch",1,494,495,34,3,8
"469","VT","Field Hockey",37,413,450,17,4,9
"470","VT","Ice Hockey",214,169,383,8,8,10
"471","WA","Track and Field -- Outdoor",14204,10837,25041,2,2,1
"472","WA","Football -- 11-Player",23282,0,23282,1,13,2
"473","WA","Basketball",12023,9675,21698,3,4,3
"474","WA","Soccer",11025,10235,21260,4,3,4
"475","WA","Tennis",5829,7873,13702,8,6,5
"476","WA","Cross Country",7159,4838,11997,7,8,6
"477","WA","Volleyball",0,11186,11186,12,1,7
"478","WA","Wrestling",9041,1222,10263,6,12,8
"479","WA","Baseball",10164,0,10164,5,13,9
"480","WA","Swimming & Diving",3989,4870,8859,9,7,10
"481","WI","Track and Field -- Outdoor",14990,11889,26879,2,2,1
"482","WI","Basketball",14343,10309,24652,3,3,2
"483","WI","Football -- 11-Player",24226,0,24226,1,12,3
"484","WI","Soccer",10291,8971,19262,5,5,4
"485","WI","Volleyball",1650,14801,16451,12,1,5
"486","WI","Cross Country",7124,6211,13335,6,6,6
"487","WI","Baseball",12428,0,12428,4,12,7
"488","WI","Tennis",4435,5367,9802,9,7,8
"489","WI","Softball -- Fast Pitch",0,9656,9656,14,4,9
"490","WI","Golf",5485,1892,7377,8,9,10
"491","WV","Football -- 11-Player",5710,0,5710,1,10,1
"492","WV","Track and Field -- Outdoor",2967,2492,5459,3,1,2
"493","WV","Basketball",3140,2098,5238,2,4,3
"494","WV","Soccer",2044,1794,3838,5,6,4
"495","WV","Baseball",2688,0,2688,4,10,5
"496","WV","Volleyball",0,2471,2471,11,2,6
"497","WV","Softball -- Fast Pitch",0,2226,2226,11,3,7
"498","WV","Cross Country",1162,821,1983,7,8,8
"499","WV","Competitive Spirit Squad",0,1975,1975,11,5,9
"500","WV","Wrestling",1665,0,1665,6,10,10
"501","WY","Basketball",1793,1614,3407,2,2,1
"502","WY","Track and Field -- Outdoor",1685,1496,3181,3,3,2
"503","WY","Football -- 11-Player",2616,4,2620,1,15,3
"504","WY","Volleyball",0,1867,1867,16,1,4
"505","WY","Soccer",931,878,1809,5,4,5
"506","WY","Wrestling",1155,20,1175,4,14,6
"507","WY","Track and Field -- Indoor",602,517,1119,6,7,7
"508","WY","Cross Country",565,445,1010,7,8,8
"509","WY","Swimming & Diving",424,542,966,9,6,9
